time,value
0,93.0
20,93.0
40,93.0
60,95.0
80,93.0
100,92.0
120,95.0
140,94.0
160,253.0
180,511.0
200,509.0
220,506.0
240,502.0
260,497.0
280,491.0
300,481.0
320,479.0
340,475.0
360,473.0
380,465.0
400,464.0
420,464.0
440,464.0
460,464.0
480,469.0
500,478.0
520,480.0
540,483.0
560,487.0
580,498.0
600,511.0
620,526.0
640,530.0
660,554.0
680,560.0
700,567.0
720,590.0
740,603.0
760,612.0
780,637.0
800,650.0
820,659.0
840,667.0
860,672.0
880,678.0
900,683.0
920,688.0
940,691.0
960,690.0
980,692.0
1000,690.0
1020,676.0
1040,685.0
1060,681.0
1080,674.0
1100,671.0
1120,663.0
1140,656.0
1160,644.0
1180,641.0
1200,633.0
1220,629.0
1240,626.0
1260,623.0
1280,619.0
1300,619.0
1320,621.0
1340,619.0
1360,616.0
1380,619.0
1400,619.0
1420,623.0
1440,625.0
1460,629.0
1480,633.0
1500,638.0
1520,644.0
1540,647.0
1560,655.0
1580,661.0
1600,671.0
1620,682.0
1640,691.0
1660,699.0
1680,706.0
1700,720.0
1720,723.0
1740,734.0
1760,746.0
1780,752.0
1800,755.0
1820,771.0
1840,775.0
1860,782.0
1880,784.0
1900,788.0
1920,757.0
1940,730.0
1960,742.0
1980,748.0
2000,754.0
2020,763.0
2040,773.0
2060,781.0
2080,785.0
2100,797.0
2120,809.0
2140,816.0
2160,823.0
2180,834.0
2200,844.0
2220,856.0
2240,865.0
2260,879.0
2280,881.0
2300,894.0
2320,902.0
2340,912.0
2360,921.0
2380,931.0
2400,938.0
2420,945.0
2440,955.0
2460,961.0
2480,963.0
2500,973.0
2520,975.0
2540,976.0
2560,982.0
2580,985.0
2600,988.0
2620,987.0
2640,987.0
2660,987.0
2680,981.0
2700,983.0
2720,975.0
2740,971.0
2760,966.0
2780,961.0
2800,958.0
2820,951.0
2840,944.0
2860,931.0
2880,922.0
2900,921.0
2920,913.0
2940,900.0
2960,891.0
2980,903.0
3000,887.0
3020,883.0
3040,882.0
3060,883.0
3080,886.0
3100,887.0
3120,891.0
3140,896.0
3160,897.0
3180,125.0
3200,124.0
3220,114.0
3240,115.0
3260,116.0
3280,992.0
3300,976.0
3320,969.0
3340,965.0
3360,959.0
3380,954.0
3400,951.0
3420,955.0
3440,977.0
3460,999.0
3480,771.0
3500,757.0
3520,760.0
3540,720.0
3560,704.0
3580,689.0
3600,672.0
3620,782.0
3640,652.0
3660,631.0
3680,743.0
3700,602.0
3720,586.0
3740,580.0
3760,579.0
3780,575.0
3800,573.0
3820,751.0
3840,576.0
3860,578.0
3880,753.0
3900,586.0
3920,699.0
3940,597.0
3960,597.0
3980,603.0
4000,611.0
4020,617.0
4040,624.0
4060,627.0
4080,816.0
4100,633.0
4120,639.0
4140,821.0
4160,640.0
4180,799.0
4200,646.0
4220,639.0
4240,631.0
4260,769.0
4280,621.0
4300,608.0
4320,603.0
4340,803.0
4360,589.0
4380,577.0
4400,623.0
4420,555.0
4440,541.0
4460,715.0
4480,525.0
4500,502.0
4520,681.0
4540,486.0
4560,470.0
4580,608.0
4600,451.0
4620,440.0
4640,411.0
4660,612.0
4680,401.0
4700,397.0
4720,593.0
4740,393.0
4760,585.0
4780,394.0
4800,403.0
4820,414.0
4840,410.0
4860,426.0
4880,436.0
4900,457.0
4920,463.0
4940,478.0
4960,476.0
4980,483.0
5000,495.0
5020,493.0
5040,498.0
5060,519.0
5080,496.0
5100,509.0
5120,510.0
5140,508.0
5160,509.0
5180,511.0
5200,501.0
5220,503.0
5240,511.0
5260,491.0
5280,482.0
5300,475.0
5320,464.0
5340,458.0
5360,318.0
5380,331.0
5400,410.0
5420,347.0
5440,351.0
5460,358.0
5480,363.0
5500,368.0
5520,363.0
5540,406.0
5560,354.0
5580,558.0
5600,342.0
5620,529.0
5640,322.0
5660,486.0
5680,304.0
5700,464.0
5720,266.0
5740,462.0
5760,242.0
5780,432.0
5800,223.0
5820,210.0
5840,206.0
5860,194.0
5880,357.0
5900,181.0
5920,176.0
5940,383.0
5960,171.0
5980,171.0
6000,176.0
6020,167.0
