time,value
0.0,93.0
4.0,93.0
8.0,93.0
12.0,95.0
16.0,93.0
20.0,92.0
24.0,95.0
28.0,94.0
32.0,253.0
36.0,511.0
40.0,509.0
44.0,506.0
48.0,502.0
52.0,497.0
56.0,491.0
60.0,481.0
64.0,479.0
68.0,475.0
72.0,473.0
76.0,465.0
80.0,464.0
84.0,464.0
88.0,464.0
92.0,464.0
96.0,469.0
100.0,478.0
104.0,480.0
108.0,483.0
112.0,487.0
116.0,498.0
120.0,511.0
124.0,526.0
128.0,530.0
132.0,554.0
136.0,560.0
140.0,567.0
144.0,590.0
148.0,603.0
152.0,612.0
156.0,637.0
160.0,650.0
164.0,659.0
168.0,667.0
172.0,672.0
176.0,678.0
180.0,683.0
184.0,688.0
188.0,691.0
192.0,690.0
196.0,692.0
200.0,690.0
204.0,676.0
208.0,685.0
212.0,681.0
216.0,674.0
220.0,671.0
224.0,663.0
228.0,656.0
232.0,644.0
236.0,641.0
240.0,633.0
244.0,629.0
248.0,626.0
252.0,623.0
256.0,619.0
260.0,619.0
264.0,621.0
268.0,619.0
272.0,616.0
276.0,619.0
280.0,619.0
284.0,623.0
288.0,625.0
292.0,629.0
296.0,633.0
300.0,638.0
304.0,644.0
308.0,647.0
312.0,655.0
316.0,661.0
320.0,671.0
324.0,682.0
328.0,691.0
332.0,699.0
336.0,706.0
340.0,720.0
344.0,723.0
348.0,734.0
352.0,746.0
356.0,752.0
360.0,755.0
364.0,771.0
368.0,775.0
372.0,782.0
376.0,784.0
380.0,788.0
384.0,757.0
388.0,730.0
392.0,742.0
396.0,748.0
400.0,754.0
404.0,763.0
408.0,773.0
412.0,781.0
416.0,785.0
420.0,797.0
424.0,809.0
428.0,816.0
432.0,823.0
436.0,834.0
440.0,844.0
444.0,856.0
448.0,865.0
452.0,879.0
456.0,881.0
460.0,894.0
464.0,902.0
468.0,912.0
472.0,921.0
476.0,931.0
480.0,938.0
484.0,945.0
488.0,955.0
492.0,961.0
496.0,963.0
500.0,973.0
504.0,975.0
508.0,976.0
512.0,982.0
516.0,985.0
520.0,988.0
524.0,987.0
528.0,987.0
532.0,987.0
536.0,981.0
540.0,983.0
544.0,975.0
548.0,971.0
552.0,966.0
556.0,961.0
560.0,958.0
564.0,951.0
568.0,944.0
572.0,931.0
576.0,922.0
580.0,921.0
584.0,913.0
588.0,900.0
592.0,891.0
596.0,903.0
600.0,887.0
604.0,883.0
608.0,882.0
612.0,883.0
616.0,886.0
620.0,887.0
624.0,891.0
628.0,896.0
632.0,897.0
636.0,125.0
640.0,124.0
644.0,114.0
648.0,115.0
652.0,116.0
656.0,992.0
660.0,976.0
664.0,969.0
668.0,965.0
672.0,959.0
676.0,954.0
680.0,951.0
684.0,955.0
688.0,977.0
692.0,999.0
696.0,771.0
700.0,757.0
704.0,760.0
708.0,720.0
712.0,704.0
716.0,689.0
720.0,672.0
724.0,782.0
728.0,652.0
732.0,631.0
736.0,743.0
740.0,602.0
744.0,586.0
748.0,580.0
752.0,579.0
756.0,575.0
760.0,573.0
764.0,751.0
768.0,576.0
772.0,578.0
776.0,753.0
780.0,586.0
784.0,699.0
788.0,597.0
792.0,597.0
796.0,603.0
800.0,611.0
804.0,617.0
808.0,624.0
812.0,627.0
816.0,816.0
820.0,633.0
824.0,639.0
828.0,821.0
832.0,640.0
836.0,799.0
840.0,646.0
844.0,639.0
848.0,631.0
852.0,769.0
856.0,621.0
860.0,608.0
864.0,603.0
868.0,803.0
872.0,589.0
876.0,577.0
880.0,623.0
884.0,555.0
888.0,541.0
892.0,715.0
896.0,525.0
900.0,502.0
904.0,681.0
908.0,486.0
912.0,470.0
916.0,608.0
920.0,451.0
924.0,440.0
928.0,411.0
932.0,612.0
936.0,401.0
940.0,397.0
944.0,593.0
948.0,393.0
952.0,585.0
956.0,394.0
960.0,403.0
964.0,414.0
968.0,410.0
972.0,426.0
976.0,436.0
980.0,457.0
984.0,463.0
